TOKEN USAGE REPORT
==================
Target Directory: E:\tmp\pos-arch\Document-Series
Total Files Scanned: 2539
Total Tokens: 13,721,937
Time Taken: 21.77 seconds
==================

TOKENS     | FILE PATH
20918      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-08_POS-Offline-Enhancement\Group-E_Conflict-Resolution\01_Tasks-69-80_Detection-Resolution.md
20886      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-05_State-Management\Group-E_Module-Query-Hooks\01_Tasks-61-70_Product-Inventory-Customer-Sales.md
20812      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-E_Statements-Reports-Aging\02_Tasks-72-75_Aging-Service.md
20633      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-F_API-Testing-Documentation\01_Tasks-81-86_Serializers-ViewSet-Actions.md
20631      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-10_Account-Reconciliation\Group-D_Reconciliation-Workflow\01_Tasks-49-58_Reconciliation-Model.md
20572      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-06_Cash-On-Delivery-COD\Group-C_Risk-Management\02_Tasks-41-48_Blacklist-Risk-Verify.md
20304      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-11_WhatsApp-Business-API\Group-F_Frontend-Testing\01_Tasks-83-92_Types-Components-Tests.md
20287      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-D_Payment-Recording-Scheduling\02_Tasks-59-66_Payment-Service-Schedule.md
20282      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-D_Payment-Recording-Scheduling\01_Tasks-49-58_Payment-Model.md
20135      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-02_Tailwind-Design-System\Group-E_Responsive-Design-Breakpoints\01_Tasks-59-66_Breakpoints-Utilities.md
20067      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-01_Employee-Management\Group-B_Personal-Contact-Details\02_Tasks-27-34_Emergency-Family.md
19831      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-04_Leave-Management\Group-D_Holiday-Calendar-Management\02_Tasks-60-66_Calendar-Service-WorkDays.md
19803      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-09_Domex-Other-Couriers\Group-B_PromptX-Integration\02_Tasks-31-42_Provider-Webhook-Verify.md
19704      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-B_Bill-Line-Items-Matching\02_Tasks-26-32_Matching-Service.md
19656      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-01_Webstore-Project-Structure\Group-F_Store-Utilities-Testing\01_Tasks-77-84_Utility-Functions-Core.md
19578      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-01_Webstore-Project-Structure\Group-D_Store-API-Client\02_Tasks-54-60_Extended-API-Modules.md
19557      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-C_Bill-Services-Processing\01_Tasks-33-40_Bill-Service-Creation.md
19542      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-01_Employee-Management\Group-E_Employee-Services-History\02_Tasks-76-80_Import-Export-Reporting.md
19535      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-02_Department-Designations\Group-C_Department-Employee-Links\02_Tasks-38-44_Signals-Head-Validation.md
19493      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-04_Leave-Management\Group-B_LeaveBalance-Accrual\02_Tasks-27-34_Accrual-Service-Tasks.md
19390      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-08_Chart-of-Accounts\Group-B_Account-Model-Hierarchy\04_Tasks-29-34_Balance-Currency-Constraints.md
19358      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-04_API-Client-Layer\Group-E_Module-API-Services\01_Tasks-59-68_Product-Inventory-Customer-Vendor.md
19295      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-11_WhatsApp-Business-API\Group-B_API-Client-Auth\02_Tasks-26-32_Media-Phone-Verify.md
19198      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-02_Product-Recommendations\Group-D_Personalized-Recommendations\01_Tasks-53-60_Matrix-CF-SVD.md
19181      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-04_Leave-Management\Group-C_LeaveRequest-Workflow\02_Tasks-46-52_Request-Service-Workflow.md
18911      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-05_Salary-Structure\Group-B_Salary-Template-Grades\01_Tasks-19-28_Template-TemplateComponent.md
18887      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-13_Dashboard-KPIs\Group-C_Inventory-KPIs\02_Tasks-41-48_Stock-Analysis-Caching.md
18871      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-11_WhatsApp-Business-API\Group-C_Template-Messages\01_Tasks-33-44_Model-Templates.md
18774      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-11_Financial-Reports\Group-B_Trial-Balance-Report\01_Tasks-17-24_TrialBalance-Calculations.md
18732      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-07_Checkout-Flow\Group-C_Step2-Shipping\01_Tasks-35-45_Address-Saved.md
18666      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-05_Search-Functionality\Group-B_Autocomplete-Suggestions\01_Tasks-17-26_Container-Suggestions.md
18587      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-03_Component-Library-Setup\Group-F_Composite-Components-Documentation\01_Tasks-81-88_Page-Display-Utility.md
18525      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-01_Webstore-Project-Structure\Group-C_Store-Configuration\01_Tasks-31-40_Environment-Navigation.md
18510      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-11_WhatsApp-Business-API\Group-E_Webhooks-Delivery\01_Tasks-69-78_Webhook-MessageLog.md
18493      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-03_Component-Library-Setup\Group-E_Data-Display-Feedback-Components\01_Tasks-65-72_DataTable-Skeleton.md
18479      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-03_Receipt-Generation\Group-B_Receipt-Data-Generation\03_Tasks-29-34_Tax-Payments-Footer-QR.md
18314      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-14_Marketing-Features\Group-A_Coupon-System-Backend\02_Tasks-11-18_Validation-Verify.md
18258      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-04_Leave-Management\Group-E_Reports-Integration\02_Tasks-75-80_Integration-Notifications-Dashboard.md
18176      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-05_Salary-Structure\Group-E_Services-Calculations\02_Tasks-70-76_Calculators-Export.md
18133      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-09_Journal-Entries\Group-F_API-Testing-Documentation\01_Tasks-81-88_API-Endpoints-Serializers.md
18115      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-07_Checkout-Flow\Group-F_Order-Sidebar-Testing\01_Tasks-85-93_Sidebar-API.md
17993      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-01_NextJS-Project-Setup\Group-F_Development-Tooling-Documentation\01_Tasks-79-84_VSCode-Docker.md
17939      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-03_Attendance-System\Group-A_Shift-Schedule-Models\02_Tasks-11-16_ShiftSchedule-Model.md
17926      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-03_Receipt-Generation\Group-B_Receipt-Data-Generation\02_Tasks-23-28_Builder-Items-Totals.md
17912      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-09_Journal-Entries\Group-E_Approval-Posting\02_Tasks-70-74_Approval-Workflow.md
17886      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-01_Webstore-Project-Structure\Group-D_Store-API-Client\01_Tasks-47-53_API-Client-Core-Modules.md
17835      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-11_WhatsApp-Business-API\Group-D_Notification-Service\01_Tasks-53-62_Service-Methods.md
17831      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-02_Tailwind-Design-System\Group-C_Typography-System\01_Tasks-31-38_Font-Setup-Headings.md
17745      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-03_Attendance-System\Group-B_Attendance-Record-Model\02_Tasks-25-32_Hours-Location-Index.md
17740      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-02_Storefront-Layout\Group-B_Header-Components\02_Tasks-25-34_Account-Menu-Cart-Actions.md
17709      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-02_Product-Recommendations\Group-B_Frequently-Bought-Together\02_Tasks-25-34_FBT-Service-Cache.md
17700      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-01_NextJS-Project-Setup\Group-D_ESLint-Prettier-Setup\01_Tasks-47-55_ESLint-Configuration.md
17609      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-13_HR-Payroll-UI\Group-D_Leave-Management\02_Tasks-63-68_Approval-Calendar-API.md
17514      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-12_SMS-Gateway-Integration\Group-D_Notification-Service\01_Tasks-55-62_Template-Model-SMS.md
17501      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-12_Vendor-Bills-Payments\Group-E_Statements-Reports-Aging\01_Tasks-67-71_Statement-Service.md
17498      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-06_Payroll-Processing\Group-A_Payroll-Period-Models\02_Tasks-10-16_Settings-AutoGeneration.md
17426      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-11_Financial-Reports\Group-F_Export-Testing-Documentation\02_Tasks-87-92_Scheduler-Testing-Docs.md
17283      | ./Document-Series\Phase-07_Frontend-Infrastructure-ERP-Dashboard\SubPhase-06_Authentication-UI\Group-D_Password-Reset-Flow\02_Tasks-53-62_Reset-Password.md
17223      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-09_Realtime-Sync-Engine\Group-A_Redis-PubSub-Setup\02_Tasks-09-16_Publisher-Subscriber.md
17091      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-01_POS-Terminal-Core\Group-B_Cart-Line-Item-Management\03_Tasks-32-38_Cart-Service-Operations.md
16884      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-13_Dashboard-KPIs\Group-E_HR-KPIs-Alerts\02_Tasks-75-80_Alert-System.md
16874      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-11_Financial-Reports\Group-C_Profit-Loss-Statement\02_Tasks-42-48_PL-Comparison-Output.md
16858      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-10_Account-Reconciliation\Group-E_Reporting-History\02_Tasks-71-76_Reconciliation-Reports.md
16841      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-05_Salary-Structure\Group-A_Salary-Component-Models\01_Tasks-01-09_App-Component-Core.md
16837      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-11_WhatsApp-Business-API\Group-B_API-Client-Auth\01_Tasks-17-25_Client-Send-Methods.md
16819      | ./Document-Series\Phase-05_ERP-Core-Modules-Part2\SubPhase-03_Receipt-Generation\Group-C_Thermal-Printer-Integration\02_Tasks-43-48_QR-Layout-Renderer.md
16783      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-14_Marketing-Features\Group-C_Flash-Sales-System\02_Tasks-45-52_Cards-Page-Verify.md
16741      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-10_Account-Reconciliation\Group-F_API-Testing-Documentation\01_Tasks-77-82_Admin-ViewSet-Routes.md
16700      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-02_Product-Recommendations\Group-D_Personalized-Recommendations\02_Tasks-61-68_Service-Cache-Verify.md
16685      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-13_Dashboard-KPIs\Group-A_KPI-Framework\02_Tasks-09-16_KPIDefinition-BaseCalculator.md
16631      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-08_Customer-Authentication\Group-E_Session-Remember-Me\02_Tasks-76-82_Cart-Merge-Verification.md
16589      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-03_Attendance-System\Group-E_Reports-Analytics\01_Tasks-63-70_Report-Service-Types.md
16563      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-03_Demand-Forecasting\Group-C_Festival-Calendar\02_Tasks-40-48_Calendar-Service.md
16506      | ./Document-Series\Phase-09_Integrations-Sri-Lanka-Localizations\SubPhase-06_Cash-On-Delivery-COD\Group-E_Reconciliation-Reports\02_Tasks-71-76_Reports-Export-Verify.md
16473      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-02_Department-Designations\Group-F_API-Testing-Documentation\01_Tasks-69-75_Serializers-ViewSets-Filter.md
16471      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-05_Salary-Structure\Group-B_Salary-Template-Grades\02_Tasks-29-34_SalaryGrade-Seed.md
16464      | ./Document-Series\Phase-08_Webstore-Ecommerce-Platform\SubPhase-01_Webstore-Project-Structure\Group-B_Store-Layout-Foundation\02_Tasks-23-30_Variables-Components-Verify.md
16413      | ./Document-Series\Phase-10_AI-Features-Advanced-Capabilities\SubPhase-02_Product-Recommendations\Group-C_Similar-Products\01_Tasks-35-43_Embedder-Similarity.md
16412      | ./Document-Series\Phase-06_ERP-Advanced-Modules\SubPhase-10_Account-Reconciliation\Group-B_Statement-Import\01_Tasks-15-22_BankStatement-Model.md
